date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:12:11	633/633	---MCZ	200	added ('OK')	text/plain	date:Sun,%2007%20Dec%202025%2004:12:11%20GMT	https://ryo.lu/robots.txt		(from )
22:12:12	695/695	---MCZ	200	added ('OK')	text/html	date:Sun,%2007%20Dec%202025%2004:12:11%20GMT	https://ryo.lu/	./ryo_clone/ryo.lu/index.html	(from )
22:12:12	317/317	---MCZ	200	added ('OK')	application/json	etag:W/%227bd13828632ba4b957577c5a0637b2d9-ssl%22	https://ryo.lu/manifest.json	./ryo_clone/ryo.lu/manifest.json	(from https://ryo.lu/)
22:12:14	9297/9297	---M--	200	added ('OK')	image/png	etag:%22c918ddaa4797b7a3f38055b2676315af-ssl%22	https://ryo.lu/favicon.png	./ryo_clone/ryo.lu/favicon.png	(from https://ryo.lu/)
22:12:14	503/503	---MCZ	200	added ('OK')	text/css	etag:W/%22ba348bdcf98b9c502713c365ef1f497c-ssl%22	https://ryo.lu/fonts/fonts.css	./ryo_clone/ryo.lu/fonts/fonts.css	(from https://ryo.lu/)
22:12:16	15403/15403	---MCZ	200	added ('OK')	text/css	etag:W/%225ecd6ec9151bfe2141a2276b8b15f378-ssl-df%22	https://ryo.lu/static/css/main.0b028dbc.css	./ryo_clone/ryo.lu/static/css/main.0b028dbc.css	(from https://ryo.lu/)
22:12:18	18312/18312	---M--	200	added ('OK')	font/woff2	etag:%2201a9358eafcff7e3d2ff6a3a0008ff68-ssl%22	https://ryo.lu/fonts/NBInternationalPro.woff2	./ryo_clone/ryo.lu/fonts/NBInternationalPro.woff2	(from https://ryo.lu/fonts/fonts.css)
22:12:18	371976/371976	---MCZ	200	added ('OK')	application/javascript	etag:W/%22d42dd1569efacf6ef543c0f7566bdc01-ssl-df%22	https://ryo.lu/static/js/main.26804698.js	./ryo_clone/ryo.lu/static/js/main.26804698.js	(from https://ryo.lu/)
22:12:19	78620/78620	---MCZ	200	added ('OK')	application/font-woff	etag:W/%221d587a7df2bb10b40d43866db5b392e5-ssl-df%22	https://ryo.lu/fonts/NBInternationalPro.woff	./ryo_clone/ryo.lu/fonts/NBInternationalPro.woff	(from https://ryo.lu/fonts/fonts.css)
22:12:20	64708/64708	---MCZ	200	added ('OK')	font/otf	etag:W/%227408ed2bc8b470e313cb5ac61cd9d7fe-ssl-df%22	https://ryo.lu/fonts/NBInternationalPro.otf	./ryo_clone/ryo.lu/fonts/NBInternationalPro.otf	(from https://ryo.lu/fonts/fonts.css)
22:12:21	18132/18132	---M--	200	added ('OK')	font/woff2	etag:%22e5cc7f6a16220aabe52b8821149d67f6-ssl%22	https://ryo.lu/fonts/NBInternationalPro-Mono.woff2	./ryo_clone/ryo.lu/fonts/NBInternationalPro-Mono.woff2	(from https://ryo.lu/fonts/fonts.css)
22:12:22	75880/75880	---MCZ	200	added ('OK')	application/font-woff	etag:W/%2291de1cb884bc3217b6f427edfdfb773b-ssl-df%22	https://ryo.lu/fonts/NBInternationalPro-Mono.woff	./ryo_clone/ryo.lu/fonts/NBInternationalPro-Mono.woff	(from https://ryo.lu/fonts/fonts.css)
22:12:23	39448/39448	---MCZ	200	added ('OK')	font/otf	etag:W/%221036e0a286197d54ac2f6ffd1f2576fd-ssl-df%22	https://ryo.lu/fonts/NBInternationalPro-Mono.otf	./ryo_clone/ryo.lu/fonts/NBInternationalPro-Mono.otf	(from https://ryo.lu/fonts/fonts.css)
